"scenario","audit_rate","rmse_ipw","rmse_target","rmse_external_sameX","rmse_external_recal","rmse_bisg","brier_target","brier_external_sameX","brier_recal","brier_bisg"
"feature_shift",0.01,0.0127039559609043,0.00793026371100475,0.00991465823985919,0.010565614466888,0.00781100849939942,0.162339663575575,0.2049980758833,0.184961066844732,0.153307515844871
"feature_shift",0.02,0.0104005835639283,0.00644529916518348,0.00753167511084631,0.00753940895291848,0.00657708894487057,0.152087521232531,0.2049980758833,0.181974358090808,0.153307515844871
"feature_shift",0.05,0.00597224266470406,0.00395749865218399,0.0046215603919251,0.00476540068581782,0.00387674994547933,0.146336453858858,0.2049980758833,0.180353228415956,0.153307515844871
"feature_shift",0.1,0.00406708522550832,0.00253655914008472,0.00322073471074626,0.00301435715856764,0.00259197353424877,0.144753824687549,0.2049980758833,0.17977827691911,0.153307515844871
"feature_shift",0.2,0.0030035577628207,0.00200433651948172,0.00219158722778218,0.00215447784575375,0.00195233993456767,0.143976042867797,0.2049980758833,0.179591565018854,0.153307515844871
"prior_shift",0.01,0.0170545416249504,0.00772868241157485,0.00764509767360971,0.00726714540103808,0.0102707569004992,0.137116295967398,0.123816064393534,0.12333529031286,0.151716692879977
"prior_shift",0.02,0.0127219439692067,0.00528847881514728,0.0050910431720977,0.00490683168277145,0.00703675740518866,0.127531945879205,0.123816064393534,0.120830405314508,0.151716692879977
"prior_shift",0.05,0.00858816921472067,0.0033590218572903,0.00344043957684132,0.0033919570683049,0.00415784351308625,0.121954870472986,0.123816064393534,0.119628347780877,0.151716692879977
"prior_shift",0.1,0.00518894909260748,0.00215544266267428,0.00221504183020995,0.00212920220977893,0.00292646846656509,0.120241967606134,0.123816064393534,0.119104397422932,0.151716692879977
"prior_shift",0.2,0.00331628543730328,0.00144668263021862,0.00142414323145824,0.00144650563962505,0.00172285574775731,0.119512924251047,0.123816064393534,0.118909690235139,0.151716692879977
"transported",0.01,0.0173726529085229,0.00833509808436764,0.0075264777513886,0.00775775621429548,0.00925418254829576,0.123107584298533,0.103176533513225,0.108585468230966,0.126155099493112
"transported",0.02,0.0103370669177371,0.00498237562132672,0.00484891597671829,0.00495475516505254,0.00614133912522088,0.111634976701105,0.103176533513225,0.1052303808635,0.126155099493112
"transported",0.05,0.00763672218869452,0.00364836747838764,0.00349070632818789,0.00355934978605188,0.00438401507882445,0.106557063710009,0.103176533513225,0.104061941477535,0.126155099493112
"transported",0.1,0.00462432765886036,0.00194961959530565,0.00192841290010542,0.00192267303264711,0.00208140919893009,0.104686842630707,0.103176533513225,0.103618309299734,0.126155099493112
"transported",0.2,0.00302794773494772,0.00151074684581576,0.00150782893249311,0.00151347937210908,0.00174165090147693,0.104054100196832,0.103176533513225,0.103420692601633,0.126155099493112
