"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,1,"IPW",0.07714243273573,0.0570926562306611,NA,NA
"transported",0.01,1,"Augmented: Target-audit same-X",0.0651865571595852,0.0570926562306611,0.124202084413672,0.880568304409952
"transported",0.01,1,"Plug-in: Target-audit same-X",0.0606336855175365,0.0570926562306611,0.124202084413672,0.880568304409952
"transported",0.01,1,"Augmented: External same-X",0.0589624953192893,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,1,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,1,"Augmented: External same-X distorted",0.058259342161859,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,1,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,1,"Augmented: External same-X recalibrated",0.0600042466641614,0.0570926562306611,0.107299105424936,0.904709805107018
"transported",0.01,1,"Plug-in: External same-X recalibrated",0.0565729372013304,0.0570926562306611,0.107299105424936,0.904709805107018
"transported",0.01,1,"Augmented: External BISG-like",0.0587225748014186,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,1,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,2,"IPW",0.0636685906775069,0.0570926562306611,NA,NA
"transported",0.01,2,"Augmented: Target-audit same-X",0.055153974805514,0.0570926562306611,0.124907929471498,0.878981439295659
"transported",0.01,2,"Plug-in: Target-audit same-X",0.0553194602999289,0.0570926562306611,0.124907929471498,0.878981439295659
"transported",0.01,2,"Augmented: External same-X",0.0551950975022553,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,2,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,2,"Augmented: External same-X distorted",0.0549831365999505,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,2,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,2,"Augmented: External same-X recalibrated",0.0551458368949087,0.0570926562306611,0.10455135643079,0.907377650309924
"transported",0.01,2,"Plug-in: External same-X recalibrated",0.057798921247803,0.0570926562306611,0.10455135643079,0.907377650309924
"transported",0.01,2,"Augmented: External BISG-like",0.0560011236090184,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,2,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,3,"IPW",0.07200775302122,0.0570926562306611,NA,NA
"transported",0.01,3,"Augmented: Target-audit same-X",0.0663010217169618,0.0570926562306611,0.12336365712415,0.88523714989963
"transported",0.01,3,"Plug-in: Target-audit same-X",0.0634000078269279,0.0570926562306611,0.12336365712415,0.88523714989963
"transported",0.01,3,"Augmented: External same-X",0.0664176503725899,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,3,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,3,"Augmented: External same-X distorted",0.0654346222349528,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,3,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,3,"Augmented: External same-X recalibrated",0.066709554834579,0.0570926562306611,0.116749430644564,0.898567841044097
"transported",0.01,3,"Plug-in: External same-X recalibrated",0.0597274979932053,0.0570926562306611,0.116749430644564,0.898567841044097
"transported",0.01,3,"Augmented: External BISG-like",0.0720512843181848,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,3,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,4,"IPW",0.0715305973899719,0.0570926562306611,NA,NA
"transported",0.01,4,"Augmented: Target-audit same-X",0.0542117298961606,0.0570926562306611,0.119392727280714,0.88833674314324
"transported",0.01,4,"Plug-in: Target-audit same-X",0.0532322539997479,0.0570926562306611,0.119392727280714,0.88833674314324
"transported",0.01,4,"Augmented: External same-X",0.058310405079977,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,4,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,4,"Augmented: External same-X distorted",0.0598051122976845,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,4,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,4,"Augmented: External same-X recalibrated",0.0585260090647905,0.0570926562306611,0.106248967239331,0.906585769547335
"transported",0.01,4,"Plug-in: External same-X recalibrated",0.0624149127144882,0.0570926562306611,0.106248967239331,0.906585769547335
"transported",0.01,4,"Augmented: External BISG-like",0.0525063927862134,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,4,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,5,"IPW",0.0582451894183922,0.0570926562306611,NA,NA
"transported",0.01,5,"Augmented: Target-audit same-X",0.0516966250913594,0.0570926562306611,0.118788619279815,0.883107699818378
"transported",0.01,5,"Plug-in: Target-audit same-X",0.0525137139527877,0.0570926562306611,0.118788619279815,0.883107699818378
"transported",0.01,5,"Augmented: External same-X",0.0548790293361149,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,5,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,5,"Augmented: External same-X distorted",0.0550561628157541,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,5,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,5,"Augmented: External same-X recalibrated",0.0517171490018875,0.0570926562306611,0.109414178355639,0.903746761404759
"transported",0.01,5,"Plug-in: External same-X recalibrated",0.053045236922646,0.0570926562306611,0.109414178355639,0.903746761404759
"transported",0.01,5,"Augmented: External BISG-like",0.0632989454481484,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,5,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,6,"IPW",0.0308209405739707,0.0570926562306611,NA,NA
"transported",0.01,6,"Augmented: Target-audit same-X",0.038615205703704,0.0570926562306611,0.126492803880905,0.864971838032374
"transported",0.01,6,"Plug-in: Target-audit same-X",0.0386041129609891,0.0570926562306611,0.126492803880905,0.864971838032374
"transported",0.01,6,"Augmented: External same-X",0.0434389141295363,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,6,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,6,"Augmented: External same-X distorted",0.0473174028186243,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,6,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,6,"Augmented: External same-X recalibrated",0.0444334377879887,0.0570926562306611,0.106993993609943,0.906547285042314
"transported",0.01,6,"Plug-in: External same-X recalibrated",0.0523105303454363,0.0570926562306611,0.106993993609943,0.906547285042314
"transported",0.01,6,"Augmented: External BISG-like",0.0375907574541977,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,6,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,7,"IPW",0.0173311358953286,0.0570926562306611,NA,NA
