"scenario","audit_rate","method","n_rep","mean_estimate","true_moment","bias","sd","rmse","mean_brier","mean_auc"
"transported",0.01,"Augmented: External same-X",100,0.055914262913058,0.0570926562306611,-0.00117839331760317,0.00747110639996322,0.0075264777513886,0.103176533513225,0.909079503400913
"feature_shift",0.02,"Augmented: External same-X",100,0.0087908969895429,0.0078856042776328,0.000905292711910098,0.00751473805003949,0.00753167511084631,0.2049980758833,0.792314639540441
"prior_shift",0.02,"Augmented: External same-X",100,0.0682352282492817,0.0678071585649271,0.000428069684354533,0.00509857148992519,0.0050910431720977,0.123816064393534,0.907541914036222
"transported",0.02,"Augmented: External same-X",100,0.0573402383172281,0.0570926562306611,0.00024758208656698,0.00486698725175778,0.00484891597671829,0.103176533513225,0.909079503400913
"feature_shift",0.05,"Augmented: External same-X",100,0.00852347321361466,0.0078856042776328,0.000637868935981858,0.0046003890565293,0.0046215603919251,0.2049980758833,0.792314639540441
"prior_shift",0.05,"Augmented: External same-X",100,0.0675940602708605,0.0678071585649271,-0.000213098294066591,0.00345113267879232,0.00344043957684132,0.123816064393534,0.907541914036222
"transported",0.05,"Augmented: External same-X",100,0.0570170705234613,0.0570926562306611,-7.55857071998423e-05,0.00350746929841321,0.00349070632818789,0.103176533513225,0.909079503400913
"feature_shift",0.1,"Augmented: External same-X",100,0.00770116334333948,0.0078856042776328,-0.000184440934293322,0.00323164804857544,0.00322073471074626,0.2049980758833,0.792314639540441
"prior_shift",0.1,"Augmented: External same-X",100,0.067566909700011,0.0678071585649271,-0.00024024886491613,0.00221306743393823,0.00221504183020995,0.123816064393534,0.907541914036222
"transported",0.1,"Augmented: External same-X",100,0.0571150232763712,0.0570926562306611,2.23670457100824e-05,0.00193799751606704,0.00192841290010542,0.103176533513225,0.909079503400913
"feature_shift",0.2,"Augmented: External same-X",100,0.00782325167179538,0.0078856042776328,-6.23526058374211e-05,0.00220173639683196,0.00219158722778218,0.2049980758833,0.792314639540441
"prior_shift",0.2,"Augmented: External same-X",100,0.0677588120079533,0.0678071585649271,-4.83465569738571e-05,0.00143049279992719,0.00142414323145824,0.123816064393534,0.907541914036222
"transported",0.2,"Augmented: External same-X",100,0.0570448798584037,0.0570926562306611,-4.77763722574423e-05,0.00151466418184189,0.00150782893249311,0.103176533513225,0.909079503400913
"feature_shift",0.01,"Augmented: External same-X distorted",100,0.0059539252036643,0.0078856042776328,-0.0019316790739685,0.0107258419892784,0.0108454890880949,0.197921275228538,0.792314639540441
"prior_shift",0.01,"Augmented: External same-X distorted",100,0.068473968425696,0.0678071585649271,0.000666809860768908,0.00721342023426588,0.00720817123490931,0.121534345229959,0.907541914036222
"transported",0.01,"Augmented: External same-X distorted",100,0.0556835112200616,0.0570926562306611,-0.00140914501059959,0.00747798746276078,0.00757276588765115,0.112782257767614,0.909079503400913
"feature_shift",0.02,"Augmented: External same-X distorted",100,0.00876811268826107,0.0078856042776328,0.000882508410628274,0.00778026598243667,0.00779140773318379,0.197921275228538,0.792314639540441
"prior_shift",0.02,"Augmented: External same-X distorted",100,0.0683177626011475,0.0678071585649271,0.000510604036220373,0.00477638598847325,0.00477979507527042,0.121534345229959,0.907541914036222
"transported",0.02,"Augmented: External same-X distorted",100,0.0571681368696738,0.0570926562306611,7.5480639012617e-05,0.00496260230475279,0.00493830383286124,0.112782257767614,0.909079503400913
"feature_shift",0.05,"Augmented: External same-X distorted",100,0.00838910489389023,0.0078856042776328,0.00050350061625743,0.00502557043494213,0.00502566487991095,0.197921275228538,0.792314639540441
"prior_shift",0.05,"Augmented: External same-X distorted",100,0.0676502544340412,0.0678071585649271,-0.00015690413088589,0.00338935803100082,0.00337601677868694,0.121534345229959,0.907541914036222
"transported",0.05,"Augmented: External same-X distorted",100,0.0571522999070861,0.0570926562306611,5.96436764249274e-05,0.00349778347867839,0.0034807616607886,0.112782257767614,0.909079503400913
"feature_shift",0.1,"Augmented: External same-X distorted",100,0.00774222300033862,0.0078856042776328,-0.000143381277294175,0.00335646918155605,0.00334272115255621,0.197921275228538,0.792314639540441
"prior_shift",0.1,"Augmented: External same-X distorted",100,0.0675893572287947,0.0678071585649271,-0.000217801336132444,0.00210888541405204,0.00210958790637567,0.121534345229959,0.907541914036222
"transported",0.1,"Augmented: External same-X distorted",100,0.0571010759534997,0.0570926562306611,8.419722838525e-06,0.00212096962466349,0.00211035492725523,0.112782257767614,0.909079503400913
"feature_shift",0.2,"Augmented: External same-X distorted",100,0.00784007650879176,0.0078856042776328,-4.55277688410395e-05,0.00227977538086512,0.0022688047088858,0.197921275228538,0.792314639540441
"prior_shift",0.2,"Augmented: External same-X distorted",100,0.0677800583511986,0.0678071585649271,-2.71002137285133e-05,0.00151214920452839,0.00150481350544591,0.121534345229959,0.907541914036222
"transported",0.2,"Augmented: External same-X distorted",100,0.0570343184849234,0.0570926562306611,-5.83377457377461e-05,0.00159700613987496,0.00159007157614621,0.112782257767614,0.909079503400913
"feature_shift",0.01,"Augmented: External same-X recalibrated",100,0.00614020674854026,0.0078856042776328,-0.00174539752909254,0.0104729471857691,0.010565614466888,0.184961066844732,0.789085330029498
"prior_shift",0.01,"Augmented: External same-X recalibrated",100,0.0685887863446616,0.0678071585649271,0.000781627779734513,0.00726138675946138,0.00726714540103808,0.12333529031286,0.905602067780891
"transported",0.01,"Augmented: External same-X recalibrated",100,0.0557840469280769,0.0570926562306611,-0.00130860930258424,0.00768511109214541,0.00775775621429548,0.108585468230966,0.9062369560029
"feature_shift",0.02,"Augmented: External same-X recalibrated",100,0.00863968545228325,0.0078856042776328,0.000754081174650448,0.00753939478195477,0.00753940895291848,0.181974358090808,0.790732328438493
"prior_shift",0.02,"Augmented: External same-X recalibrated",100,0.0682649754869148,0.0678071585649271,0.000457816921987657,0.00491003927538772,0.00490683168277145,0.120830405314508,0.906674854843871
"transported",0.02,"Augmented: External same-X recalibrated",100,0.0573752173599669,0.0570926562306611,0.000282561129305755,0.00497161213552315,0.00495475516505254,0.1052303808635,0.907929234909419
"feature_shift",0.05,"Augmented: External same-X recalibrated",100,0.00841040050872975,0.0078856042776328,0.000524796231096949,0.00476027677365905,0.00476540068581782,0.180353228415956,0.791663641231405
"prior_shift",0.05,"Augmented: External same-X recalibrated",100,0.0676461659424612,0.0678071585649271,-0.000160992622465911,0.00340520310860359,0.0033919570683049,0.119628347780877,0.907097311101097
"transported",0.05,"Augmented: External same-X recalibrated",100,0.0569785811818679,0.0570926562306611,-0.000114075048793236,0.00357544343265441,0.00355934978605188,0.104061941477535,0.908555411169693
"feature_shift",0.1,"Augmented: External same-X recalibrated",100,0.00770004847737691,0.0078856042776328,-0.000185555800255885,0.00302379755288072,0.00301435715856764,0.17977827691911,0.791910611501053
"prior_shift",0.1,"Augmented: External same-X recalibrated",100,0.06758011479085,0.0678071585649271,-0.00022704377407714,0.00212772776197309,0.00212920220977893,0.119104397422932,0.907267415143262
"transported",0.1,"Augmented: External same-X recalibrated",100,0.057125112041724,0.0570926562306611,3.24558110628071e-05,0.00193208376828579,0.00192267303264711,0.103618309299734,0.908768681278778
"feature_shift",0.2,"Augmented: External same-X recalibrated",100,0.00781232948037165,0.0078856042776328,-7.32747972611536e-05,0.00216407901233909,0.00215447784575375,0.179591565018854,0.792020146704651
"prior_shift",0.2,"Augmented: External same-X recalibrated",100,0.0677683250767814,0.0678071585649271,-3.88334881457105e-05,0.00145326887738132,0.00144650563962505,0.118909690235139,0.90736082972484
"transported",0.2,"Augmented: External same-X recalibrated",100,0.0570542085386558,0.0570926562306611,-3.84476920053384e-05,0.00152061310892997,0.00151347937210908,0.103420692601633,0.908854618885464
"feature_shift",0.01,"Augmented: Target-audit same-X",100,0.00719143813671837,0.0078856042776328,-0.00069416614091443,0.00793962164167896,0.00793026371100475,0.162339663575575,0.842357928189221
"prior_shift",0.01,"Augmented: Target-audit same-X",100,0.0686329493818783,0.0678071585649271,0.000825790816951163,0.00772315169255975,0.00772868241157485,0.137116295967398,0.887367732560038
"transported",0.01,"Augmented: Target-audit same-X",100,0.0558609860756017,0.0570926562306611,-0.00123167015505949,0.0082851241101367,0.00833509808436764,0.123107584298533,0.883304459997219
"feature_shift",0.02,"Augmented: Target-audit same-X",100,0.0087311754495713,0.0078856042776328,0.000845571171938496,0.00642178196122199,0.00644529916518348,0.152087521232531,0.855610443550024
"prior_shift",0.02,"Augmented: Target-audit same-X",100,0.0683576512500071,0.0678071585649271,0.000550492685079959,0.00528624725895059,0.00528847881514728,0.127531945879205,0.897539895239401
"transported",0.02,"Augmented: Target-audit same-X",100,0.057314789884544,0.0570926562306611,0.000222133653882826,0.00500249669703459,0.00498237562132672,0.111634976701105,0.89755971150277
"feature_shift",0.05,"Augmented: Target-audit same-X",100,0.00883206417586267,0.0078856042776328,0.000946459898229875,0.00386201512834903,0.00395749865218399,0.146336453858858,0.862996968577643
"prior_shift",0.05,"Augmented: Target-audit same-X",100,0.067640044793752,0.0678071585649271,-0.000167113771175129,0.00337176344252695,0.0033590218572903,0.121954870472986,0.903777104192383
"transported",0.05,"Augmented: Target-audit same-X",100,0.056924993068117,0.0570926562306611,-0.000167663162544176,0.0036628732886312,0.00364836747838764,0.106557063710009,0.904357941898329
"feature_shift",0.1,"Augmented: Target-audit same-X",100,0.00782620675684401,0.0078856042776328,-5.93975207887939e-05,0.00254863881389823,0.00253655914008472,0.144753824687549,0.865081581327136
"prior_shift",0.1,"Augmented: Target-audit same-X",100,0.0675474516502573,0.0678071585649271,-0.000259706914669861,0.00215051917399644,0.00215544266267428,0.120241967606134,0.905643052426018
"transported",0.1,"Augmented: Target-audit same-X",100,0.0571377287237991,0.0570926562306611,4.50724931379302e-05,0.00195891771725921,0.00194961959530565,0.104686842630707,0.907054728845626
"feature_shift",0.2,"Augmented: Target-audit same-X",100,0.00782697003737058,0.0078856042776328,-5.86342402622163e-05,0.00201357185753364,0.00200433651948172,0.143976042867797,0.866177717542396
"prior_shift",0.2,"Augmented: Target-audit same-X",100,0.0677683172107144,0.0678071585649271,-3.88413542127627e-05,0.00145344661143855,0.00144668263021862,0.119512924251047,0.906547653663029
"transported",0.2,"Augmented: Target-audit same-X",100,0.0570495656931483,0.0570926562306611,-4.30905375128965e-05,0.00151773995913485,0.00151074684581576,0.104054100196832,0.907855983223239
"feature_shift",0.01,"IPW",100,0.00576432341547265,0.0078856042776328,-0.00212128086216015,0.012588702027926,0.0127039559609043,NA,NA
"prior_shift",0.01,"IPW",100,0.0678326811898026,0.0678071585649271,2.55226248754403e-05,0.0171404400610854,0.0170545416249504,NA,NA
"transported",0.01,"IPW",100,0.0575211188541722,0.0570926562306611,0.000428462623511066,0.0174548621011443,0.0173726529085229,NA,NA
"feature_shift",0.02,"IPW",100,0.00905260741438942,0.0078856042776328,0.00116700313675662,0.0103869694080562,0.0104005835639283,NA,NA
"prior_shift",0.02,"IPW",100,0.0675646568297049,0.0678071585649271,-0.000242501735222254,0.0127837116716977,0.0127219439692067,NA,NA
"transported",0.02,"IPW",100,0.0581154284238226,0.0570926562306611,0.00102277219316149,0.0103381655125227,0.0103370669177371,NA,NA
"feature_shift",0.05,"IPW",100,0.00877655910931616,0.0078856042776328,0.000890954831683365,0.00593516161260066,0.00597224266470406,NA,NA
"prior_shift",0.05,"IPW",100,0.0675659624070125,0.0678071585649271,-0.000241196157914634,0.00862803012936413,0.00858816921472067,NA,NA
"transported",0.05,"IPW",100,0.0556172900718578,0.0570926562306611,-0.00147536615880332,0.00753059889262288,0.00763672218869452,NA,NA
"feature_shift",0.1,"IPW",100,0.00731067120856738,0.0078856042776328,-0.000574933069065418,0.00404652665596277,0.00406708522550832,NA,NA
"prior_shift",0.1,"IPW",100,0.067653905878777,0.0678071585649271,-0.000153252686150087,0.00521281504629975,0.00518894909260748,NA,NA
"transported",0.1,"IPW",100,0.0570008253607653,0.0570926562306611,-9.18308698958913e-05,0.00464670768511906,0.00462432765886036,NA,NA
"feature_shift",0.2,"IPW",100,0.0079482961252505,0.0078856042776328,6.26918476176955e-05,0.00301803149551525,0.0030035577628207,NA,NA
"prior_shift",0.2,"IPW",100,0.0673089161930206,0.0678071585649271,-0.000498242371906566,0.00329516076775631,0.00331628543730328,NA,NA
"transported",0.2,"IPW",100,0.0569075717807214,0.0570926562306611,-0.000185084449939766,0.00303751148012388,0.00302794773494772,NA,NA
"feature_shift",0.01,"Plug-in: External BISG-like",100,0.014837862838925,0.0078856042776328,0.0069522585612922,0,0.0069522585612922,0.153307515844871,0.862540822876742
"prior_shift",0.01,"Plug-in: External BISG-like",100,0.0362249698123135,0.0678071585649271,-0.0315821887526136,0,0.0315821887526136,0.151716692879977,0.862739679056371
"transported",0.01,"Plug-in: External BISG-like",100,0.0311735885251656,0.0570926562306611,-0.0259190677054955,0,0.0259190677054955,0.126155099493112,0.864292695144373
"feature_shift",0.02,"Plug-in: External BISG-like",100,0.014837862838925,0.0078856042776328,0.0069522585612922,0,0.0069522585612922,0.153307515844871,0.862540822876742
"prior_shift",0.02,"Plug-in: External BISG-like",100,0.0362249698123135,0.0678071585649271,-0.0315821887526136,0,0.0315821887526136,0.151716692879977,0.862739679056371
"transported",0.02,"Plug-in: External BISG-like",100,0.0311735885251656,0.0570926562306611,-0.0259190677054955,0,0.0259190677054955,0.126155099493112,0.864292695144373
"feature_shift",0.05,"Plug-in: External BISG-like",100,0.014837862838925,0.0078856042776328,0.0069522585612922,0,0.0069522585612922,0.153307515844871,0.862540822876742
"prior_shift",0.05,"Plug-in: External BISG-like",100,0.0362249698123135,0.0678071585649271,-0.0315821887526136,0,0.0315821887526136,0.151716692879977,0.862739679056371
"transported",0.05,"Plug-in: External BISG-like",100,0.0311735885251656,0.0570926562306611,-0.0259190677054955,0,0.0259190677054955,0.126155099493112,0.864292695144373
"feature_shift",0.1,"Plug-in: External BISG-like",100,0.014837862838925,0.0078856042776328,0.0069522585612922,0,0.0069522585612922,0.153307515844871,0.862540822876742
"prior_shift",0.1,"Plug-in: External BISG-like",100,0.0362249698123135,0.0678071585649271,-0.0315821887526136,0,0.0315821887526136,0.151716692879977,0.862739679056371
"transported",0.1,"Plug-in: External BISG-like",100,0.0311735885251656,0.0570926562306611,-0.0259190677054955,0,0.0259190677054955,0.126155099493112,0.864292695144373
"feature_shift",0.2,"Plug-in: External BISG-like",100,0.014837862838925,0.0078856042776328,0.0069522585612922,0,0.0069522585612922,0.153307515844871,0.862540822876742
"prior_shift",0.2,"Plug-in: External BISG-like",100,0.0362249698123135,0.0678071585649271,-0.0315821887526136,0,0.0315821887526136,0.151716692879977,0.862739679056371
"transported",0.2,"Plug-in: External BISG-like",100,0.0311735885251656,0.0570926562306611,-0.0259190677054955,0,0.0259190677054955,0.126155099493112,0.864292695144373
"feature_shift",0.01,"Plug-in: External same-X",100,0.0357305263034188,0.0078856042776328,0.027844922025786,0,0.027844922025786,0.2049980758833,0.792314639540441
"prior_shift",0.01,"Plug-in: External same-X",100,0.0641032083226303,0.0678071585649271,-0.00370395024229686,0,0.00370395024229686,0.123816064393534,0.907541914036222
"transported",0.01,"Plug-in: External same-X",100,0.0566298645124389,0.0570926562306611,-0.000462791718222236,0,0.000462791718222236,0.103176533513225,0.909079503400913
"feature_shift",0.02,"Plug-in: External same-X",100,0.0357305263034188,0.0078856042776328,0.027844922025786,0,0.027844922025786,0.2049980758833,0.792314639540441
"prior_shift",0.02,"Plug-in: External same-X",100,0.0641032083226303,0.0678071585649271,-0.00370395024229686,0,0.00370395024229686,0.123816064393534,0.907541914036222
"transported",0.02,"Plug-in: External same-X",100,0.0566298645124389,0.0570926562306611,-0.000462791718222236,0,0.000462791718222236,0.103176533513225,0.909079503400913
"feature_shift",0.05,"Plug-in: External same-X",100,0.0357305263034188,0.0078856042776328,0.027844922025786,0,0.027844922025786,0.2049980758833,0.792314639540441
"prior_shift",0.05,"Plug-in: External same-X",100,0.0641032083226303,0.0678071585649271,-0.00370395024229686,0,0.00370395024229686,0.123816064393534,0.907541914036222
"transported",0.05,"Plug-in: External same-X",100,0.0566298645124389,0.0570926562306611,-0.000462791718222236,0,0.000462791718222236,0.103176533513225,0.909079503400913
"feature_shift",0.1,"Plug-in: External same-X",100,0.0357305263034188,0.0078856042776328,0.027844922025786,0,0.027844922025786,0.2049980758833,0.792314639540441
"prior_shift",0.1,"Plug-in: External same-X",100,0.0641032083226303,0.0678071585649271,-0.00370395024229686,0,0.00370395024229686,0.123816064393534,0.907541914036222
"transported",0.1,"Plug-in: External same-X",100,0.0566298645124389,0.0570926562306611,-0.000462791718222236,0,0.000462791718222236,0.103176533513225,0.909079503400913
"feature_shift",0.2,"Plug-in: External same-X",100,0.0357305263034188,0.0078856042776328,0.027844922025786,0,0.027844922025786,0.2049980758833,0.792314639540441
"prior_shift",0.2,"Plug-in: External same-X",100,0.0641032083226303,0.0678071585649271,-0.00370395024229686,0,0.00370395024229686,0.123816064393534,0.907541914036222
"transported",0.2,"Plug-in: External same-X",100,0.0566298645124389,0.0570926562306611,-0.000462791718222236,0,0.000462791718222236,0.103176533513225,0.909079503400913
"feature_shift",0.01,"Plug-in: External same-X distorted",100,0.0435771406400125,0.0078856042776328,0.0356915363623797,0,0.0356915363623797,0.197921275228538,0.792314639540441
"prior_shift",0.01,"Plug-in: External same-X distorted",100,0.0738304888005812,0.0678071585649271,0.00602333023565405,0,0.00602333023565405,0.121534345229959,0.907541914036222
"transported",0.01,"Plug-in: External same-X distorted",100,0.0666616666273459,0.0570926562306611,0.00956901039668472,0,0.00956901039668472,0.112782257767614,0.909079503400913
"feature_shift",0.02,"Plug-in: External same-X distorted",100,0.0435771406400125,0.0078856042776328,0.0356915363623797,0,0.0356915363623797,0.197921275228538,0.792314639540441
"prior_shift",0.02,"Plug-in: External same-X distorted",100,0.0738304888005812,0.0678071585649271,0.00602333023565405,0,0.00602333023565405,0.121534345229959,0.907541914036222
"transported",0.02,"Plug-in: External same-X distorted",100,0.0666616666273459,0.0570926562306611,0.00956901039668472,0,0.00956901039668472,0.112782257767614,0.909079503400913
"feature_shift",0.05,"Plug-in: External same-X distorted",100,0.0435771406400125,0.0078856042776328,0.0356915363623797,0,0.0356915363623797,0.197921275228538,0.792314639540441
"prior_shift",0.05,"Plug-in: External same-X distorted",100,0.0738304888005812,0.0678071585649271,0.00602333023565405,0,0.00602333023565405,0.121534345229959,0.907541914036222
"transported",0.05,"Plug-in: External same-X distorted",100,0.0666616666273459,0.0570926562306611,0.00956901039668472,0,0.00956901039668472,0.112782257767614,0.909079503400913
"feature_shift",0.1,"Plug-in: External same-X distorted",100,0.0435771406400125,0.0078856042776328,0.0356915363623797,0,0.0356915363623797,0.197921275228538,0.792314639540441
