"audit_rate","replicate","method","path_type","lambda","selected","audited_train_n","audited_validation_n","training_estimated_moment","validation_estimated_moment","converged","gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,1,"Oracle","exact",10,FALSE,175,57,0.00516290222934436,0.00617284288570082,TRUE,1.35711523260974e-05,0.459901923811195,0.739135708333736,0.810126582278481,0.0220998360246384,0.0152315388936607,0.0220998360246384,0.0152315388936607,0.0203968633589886,0.00581232602576331,0.0203968633589886,0.00581232602576331
0.01,1,"Oracle","exact",31.6227766016838,FALSE,175,57,0.00490507377328343,0.00593539670106781,TRUE,1.2874457926251e-05,0.459775129966012,0.739278394960443,0.810626249167222,0.0212068762215351,0.0143924036090841,0.0212068762215351,0.0143924036090841,0.0191358293110695,0.00505137437835812,0.0191358293110695,0.00505137437835812
0.01,1,"Oracle","exact",100,FALSE,175,57,0.00423818823092835,0.00531500310935873,TRUE,1.30170796508488e-05,0.459694378897102,0.739465158403068,0.80929380413058,0.0188965026603667,0.0122224372460267,0.0188965026603667,0.0122224372460267,0.0166137612152311,0.00560600554862978,0.0166137612152311,0.00560600554862978
0.01,1,"Oracle","exact",316.227766016838,FALSE,175,57,0.00296861159733483,0.00412257407593279,TRUE,9.78614051228416e-06,0.460515173956145,0.738873821266903,0.807628247834777,0.0144915803037272,0.00811319452010117,0.0144915803037272,0.00811319452010117,0.0145910046237915,0.0051290343332342,0.0145910046237915,0.0051290343332342
0.01,1,"Oracle","exact",1000,TRUE,175,57,0.0015244494976099,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.01,1,"Oracle","exact",3162.27766016838,FALSE,175,57,0.000599471380623759,0.00184861217495315,TRUE,1.63582006081514e-05,0.465509880555462,0.732973640777168,0.796635576282478,0.00624511222118151,0.000487191790973118,0.00624511222118151,0.000487191790973118,0.00525135162557455,-0.00205682970041221,0.00525135162557455,0.00205682970041221
0.01,1,"Oracle","exact",10000,FALSE,175,57,0.000205290515412797,0.00146299919379623,TRUE,2.82394971673876e-05,0.466777514921169,0.731273305214255,0.794636908727515,0.00486644519774648,-0.000783380595229533,0.00486644519774648,0.000783380595229533,0.00484411010131736,-0.0030374315186984,0.00484411010131736,0.0030374315186984
0.01,1,"SoftProxy","exact",0,FALSE,175,57,0.00203280471984297,0.000905220124726397,TRUE,1.05052121372752e-13,0.459985191766892,0.739071040888486,0.810293137908061,0.02254500432315,0.0156520704595693,0.02254500432315,0.0156520704595693,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",0.001,FALSE,175,57,0.00203280074942867,0.000905216316046928,TRUE,7.52803879572301e-08,0.459985190863711,0.739071040888486,0.810293137908061,0.0225450000773824,0.0156520673925757,0.0225450000773824,0.0156520673925757,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",0.00316227766016838,FALSE,175,57,0.00203279133428393,0.000905207258388289,TRUE,2.13678447337114e-07,0.459985188040032,0.739071040888486,0.810293137908061,0.02254499069706,0.015652060710776,0.02254499069706,0.015652060710776,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
