"audit_rate","method","estimate_mean","estimate_sd","estimate_se","estimate_q025","estimate_q975","error_mean","error_sd","error_se","error_q025","error_q975","squared_error_mean","squared_error_sd","squared_error_se","squared_error_q025","squared_error_q975","n_rep","rmse"
0.02,"IPW",0.0053926455506284,0.00697476553746288,0.00155960498688898,-0.00565204271911058,0.0191148784611463,0.00010086493572081,0.00697476553746288,0.00155960498688898,-0.0109438233340182,0.0138230978462387,4.62251603227088e-05,5.1216847618383e-05,1.14524352867952e-05,6.4492030478627e-08,0.000191078034066689,20,0.00679890875969878
0.02,"SoftProxy",0.00456127312220827,0.00405185142021245,0.000906021521032411,-0.00214897818503954,0.011676521875376,-0.000730507492699312,0.00405185142021245,0.000906021521032411,-0.00744075879994713,0.0063847412604684,1.61302661317936e-05,1.78568964881832e-05,3.99292344147549e-06,2.33572747181039e-08,5.53648915189907e-05,20,0.00401625025761513
0.02,"SoftProxyMisspecified",0.00482015620026964,0.00330292711001821,0.000738556954272765,-0.00292821016585619,0.0114731730609339,-0.000471624414637943,0.00330292711001821,0.000738556954272765,-0.00821999078076378,0.00618139244602632,1.05862907078712e-05,1.79292380980453e-05,4.00909951720082e-06,2.62366240707929e-08,6.75682484358415e-05,20,0.00325365805023687
0.02,"True",0.00529178061490759,0,0,0.00529178061490759,0.00529178061490759,0,0,0,0,0,0,0,0,0,0,20,0
0.05,"Augmented",0.00597119818811646,0.00253458165536209,0.000566749687591358,0.00181706235120035,0.0118248920443698,0.000679417573208873,0.00253458165536209,0.000566749687591358,-0.00347471826370723,0.0065331114294622,6.56450719809817e-06,9.44116410283425e-06,2.11110847206682e-06,1.49067475323683e-08,4.26815449497696e-05,20,0.00256212942649238
0.05,"AugmentedMisspecified",0.00586092248230759,0.00238955166982076,0.000534319996946736,0.00179305698330773,0.0115799776000209,0.000569141867400003,0.00238955166982076,0.000534319996946736,-0.00349872363159986,0.00628819698511336,5.7483817888336e-06,8.77117182460574e-06,1.96129364421493e-06,1.18097000456994e-07,3.95414213235888e-05,20,0.00239757831755995
0.05,"HardProxy",0.0168322871504047,0.00621820888395185,0.00139043377628094,0.00706048247710793,0.0288394347125509,0.0115405065354971,0.00621820888395185,0.00139043377628094,0.00176870186220035,0.0235476540976433,0.000169916106734086,0.000154772458560118,3.46081738385192e-05,3.12830627735098e-06,0.000554492013502259,20,0.0130351872535106
0.05,"IPW",0.00607018233140312,0.00401797073499397,0.000898445569505131,-0.00112967250236693,0.0119333215026314,0.000778401716495539,0.00401797073499397,0.000898445569505131,-0.00642145311727452,0.00664154088772377,1.59427936181478e-05,1.46130641113042e-05,3.26758047124387e-06,9.69920419736966e-08,4.41100653633067e-05,20,0.00399284279907784
0.05,"SoftProxy",0.00582990413638496,0.00250358705651692,0.000559819084596045,0.00214784010162245,0.012287146902588,0.000538123521477376,0.00250358705651692,0.000559819084596045,-0.00314394051328514,0.00699536628768038,6.24412766644833e-06,1.0568619004722e-05,2.36321505228546e-06,1.67350178440282e-07,4.89351494988151e-05,20,0.00249882525728558
0.05,"SoftProxyMisspecified",0.00561623605110275,0.00230541245499101,0.000515505896553458,0.00247851608753019,0.0121500593801087,0.000324455436195165,0.00230541245499101,0.000515505896553458,-0.00281326452737739,0.00685827876520108,5.1544515883229e-06,1.04935832637505e-05,2.34643655053003e-06,3.4997305334165e-09,4.70359876212081e-05,20,0.00227034173381958
0.05,"True",0.00529178061490759,0,0,0.00529178061490759,0.00529178061490759,0,0,0,0,0,0,0,0,0,0,20,0
0.1,"Augmented",0.00570017606549455,0.00114724641479187,0.000256532097041754,0.00365631338746117,0.00770531838426632,0.000408395450586962,0.00114724641479187,0.000256532097041754,-0.00163546722744642,0.00241353776935873,1.41715246350028e-06,1.55509747890731e-06,3.4773036744753e-07,2.39528245171048e-10,5.82516456412113e-06,20,0.00119044212942095
0.1,"AugmentedMisspecified",0.00593110562584507,0.00121505066289068,0.000271693587832975,0.00357072928611032,0.0084219928050895,0.000639325010937483,0.00121505066289068,0.000271693587832975,-0.00172105132879727,0.00313021219018192,1.81126717733175e-06,2.23558485493302e-06,4.99891970509924e-07,6.44591411049758e-08,9.79822835556347e-06,20,0.00134583326505617
0.1,"HardProxy",0.0161153505698931,0.00267524312277362,0.000598202547886064,0.00943882455441475,0.0206298544185098,0.0108235699549855,0.00267524312277362,0.000598202547886064,0.00414704393950717,0.0153380738036022,0.000123948746048116,5.596759711026e-05,1.25147351675862e-05,1.71979734362031e-05,0.000235256508004749,20,0.0111332271174227
0.1,"IPW",0.00581049991244429,0.00275663174507475,0.0006164015970921,-0.00102250536104442,0.0114180270501797,0.000518719297536701,0.00275663174507475,0.0006164015970921,-0.006314285975952,0.00612624643527215,7.48813735869311e-06,1.15284664946642e-05,2.57784347583979e-06,5.15106958390349e-09,3.98702073861041e-05,20,0.00273644611836102
0.1,"SoftProxy",0.00555839877871805,0.00108352614401202,0.00024228381134091,0.0031069004936678,0.00741654911090046,0.00026661816381046,0.00108352614401202,0.00024228381134091,-0.00218488012123979,0.00212476849599287,1.18641270479334e-06,1.4331160829238e-06,3.20454498106584e-07,1.97995577823559e-10,4.77370114418878e-06,20,0.00108922573638036
0.1,"SoftProxyMisspecified",0.00546251190206538,0.00112249302956235,0.000250997071837109,0.00378018746484087,0.00791287746512727,0.000170731287157799,0.00112249302956235,0.000250997071837109,-0.00151159315006672,0.00262109685021968,1.22614024375981e-06,1.77555659125861e-06,3.97026523595206e-07,6.77787427264618e-09,6.87014869823152e-06,20,0.00110731217087134
0.1,"True",0.00529178061490759,0,0,0.00529178061490759,0.00529178061490759,0,0,0,0,0,0,0,0,0,0,20,0
0.2,"Augmented",0.00534846822538232,0.00114517980505283,0.000256069989055809,0.00297748056054087,0.00717072116026735,5.66876104747355e-05,0.00114517980505283,0.000256069989055809,-0.00231430005436671,0.00187894054535976,1.24907843178714e-06,1.56009900652124e-06,3.48848743021138e-07,9.33139193964359e-11,5.35598474164178e-06,20,0.00111762177492528
0.2,"AugmentedMisspecified",0.005285434630936,0.0012373527312063,0.00027668048191223,0.00254752938721897,0.00713956473883682,-6.34598397158061e-06,0.0012373527312063,0.00027668048191223,-0.00274425122768861,0.00184778412392924,1.45452996386506e-06,1.86491574290774e-06,4.17007837345123e-07,2.02617783096415e-11,7.53091480067047e-06,20,0.00120603895619713
0.2,"HardProxy",0.0149602908336657,0.00290969653540767,0.000650627924706718,0.010287741859096,0.0219930656334396,0.0096685102187581,0.00290969653540767,0.000650627924706718,0.00499596124418845,0.016701285018532,0.000101523107081985,6.0259606831689e-05,1.34744577173067e-05,2.4959628753433e-05,0.000278932921270242,20,0.010075867559768
0.2,"IPW",0.00589124294666787,0.00173502569861854,0.000387963540482012,0.0036123029454597,0.00995249818007448,0.000599462331760285,0.00173502569861854,0.000387963540482012,-0.00167947766944789,0.00466071756516689,3.21915355332289e-06,5.71805187344288e-06,1.27859526878883e-06,3.72395027010693e-09,2.17222882222552e-05,20,0.00179419997584519
0.2,"SoftProxy",0.0052829203087764,0.00106147123404759,0.0002373521835491,0.00316830920577546,0.00730582548253526,-8.86030613119123e-06,0.00106147123404759,0.0002373521835491,-0.00212347140913213,0.00201404486762767,1.07046362669972e-06,1.3398939318094e-06,2.9960939141653e-07,1.75561300463601e-09,4.50913082540159e-06,20,0.00103463212143241
0.2,"SoftProxyMisspecified",0.00501977139432911,0.00106461619131259,0.000238055417372187,0.00312659265112851,0.00681636470083106,-0.000272009220578479,0.00106461619131259,0.000238055417372187,-0.00216518796377908,0.00152458408592348,1.15072626914439e-06,1.44624434867744e-06,3.23390067571766e-07,5.7025592890965e-10,4.68803891849379e-06,20,0.00107271910076422
0.2,"True",0.00529178061490759,0,0,0.00529178061490759,0.00529178061490759,0,0,0,0,0,0,0,0,0,0,20,0
