"audit_rate","replicate","method","audited_n","estimate","truth","error","squared_error"
0.01,1,"True",164,0.00529178061490759,0.00529178061490759,0,0
0.01,1,"SoftProxy",164,0.00612457068670331,0.00529178061490759,0.000832790071795722,6.93539303681524e-07
0.01,1,"HardProxy",164,0.0122690606572438,0.00529178061490759,0.00697728004233625,4.86824367891838e-05
0.01,1,"IPW",164,0.00725556869754228,0.00529178061490759,0.0019637880826347,3.85646363349806e-06
0.01,1,"Augmented",164,0.00234950315590147,0.00529178061490759,-0.00294227745900612,8.6569966457755e-06
0.01,1,"SoftProxyMisspecified",164,0.0047369046799286,0.00529178061490759,-0.000554875934978986,3.07887303218803e-07
0.01,1,"AugmentedMisspecified",164,0.00294514848032814,0.00529178061490759,-0.00234663213457945,5.50668237504089e-06
0.01,2,"True",182,0.00529178061490759,0.00529178061490759,0,0
0.01,2,"SoftProxy",182,0.0163843885278317,0.00529178061490759,0.0110926079129242,0.000123045950309868
0.01,2,"HardProxy",182,0.0301417507626418,0.00529178061490759,0.0248499701477342,0.000617521016343282
0.01,2,"IPW",182,0.0160109480383449,0.00529178061490759,0.0107191674234373,0.00011490055025168
0.01,2,"Augmented",182,0.0175424125864487,0.00529178061490759,0.0122506319715411,0.000150077983702144
0.01,2,"SoftProxyMisspecified",182,0.011186453936832,0.00529178061490759,0.0058946733219244,3.47471735722072e-05
0.01,2,"AugmentedMisspecified",182,0.0153205151299292,0.00529178061490759,0.0100287345150217,0.000100575515972787
0.01,3,"True",181,0.00529178061490759,0.00529178061490759,0,0
0.01,3,"SoftProxy",181,-0.00218272242745428,0.00529178061490759,-0.00747450304236187,5.58681957302768e-05
0.01,3,"HardProxy",181,0.00128462739595014,0.00529178061490759,-0.00400715321895744,1.6057276920201e-05
0.01,3,"IPW",181,0.0120927493540939,0.00529178061490759,0.00680096873918633,4.62531757913896e-05
0.01,3,"Augmented",181,0.00121498495458399,0.00529178061490759,-0.0040767956603236,1.66202628560333e-05
0.01,3,"SoftProxyMisspecified",181,0.00787819594201545,0.00529178061490759,0.00258641532710786,6.68954424429848e-06
0.01,3,"AugmentedMisspecified",181,0.00546722433208411,0.00529178061490759,0.000175443717176526,3.07804978967167e-08
0.01,4,"True",187,0.00529178061490759,0.00529178061490759,0,0
0.01,4,"SoftProxy",187,0.0100689234740583,0.00529178061490759,0.00477714285915067,2.28210938967342e-05
0.01,4,"HardProxy",187,0.019681521281671,0.00529178061490759,0.0143897406667634,0.000207064636456704
0.01,4,"IPW",187,0.0196755478762943,0.00529178061490759,0.0143837672613867,0.000206892760629739
0.01,4,"Augmented",187,0.00972587783791436,0.00529178061490759,0.00443409722300677,1.96612181830763e-05
0.01,4,"SoftProxyMisspecified",187,0.0113516288527889,0.00529178061490759,0.00605984823788136,3.67217606661538e-05
0.01,4,"AugmentedMisspecified",187,0.0158306385174616,0.00529178061490759,0.010538857902554,0.000111067525890225
0.01,5,"True",181,0.00529178061490759,0.00529178061490759,0,0
0.01,5,"SoftProxy",181,0.00431600595994954,0.00529178061490759,-0.000975774654958044,9.5213617725849e-07
0.01,5,"HardProxy",181,0.0112699098773751,0.00529178061490759,0.00597812926246752,3.57380294787705e-05
0.01,5,"IPW",181,0.00414341952483566,0.00529178061490759,-0.00114836109007193,1.31873319319118e-06
0.01,5,"Augmented",181,0.00483011118958096,0.00529178061490759,-0.000461669425326623,2.13138658281414e-07
0.01,5,"SoftProxyMisspecified",181,0.0137348467639888,0.00529178061490759,0.00844306614908123,7.12853659977614e-05
0.01,5,"AugmentedMisspecified",181,0.00723991445915536,0.00529178061490759,0.00194813384424777,3.7952254751036e-06
0.01,6,"True",167,0.00529178061490759,0.00529178061490759,0,0
0.01,6,"SoftProxy",167,0.00879565115548213,0.00529178061490759,0.00350387054057454,1.22771087651061e-05
0.01,6,"HardProxy",167,0.0188523503661979,0.00529178061490759,0.0135605697512903,0.000183889051979611
0.01,6,"IPW",167,0.0106652634797992,0.00529178061490759,0.00537348286489161,2.88743180992838e-05
0.01,6,"Augmented",167,0.00878461226481303,0.00529178061490759,0.00349283164990545,1.21998729345812e-05
0.01,6,"SoftProxyMisspecified",167,0.00769485878959461,0.00529178061490759,0.00240307817468702,5.77478471365711e-06
0.01,6,"AugmentedMisspecified",167,0.011179636212562,0.00529178061490759,0.00588785559765445,3.46668435388309e-05
0.01,7,"True",174,0.00529178061490759,0.00529178061490759,0,0
0.01,7,"SoftProxy",174,0.00962495318107709,0.00529178061490759,0.00433317256616951,1.8776384488204e-05
0.01,7,"HardProxy",174,0.0220969766812554,0.00529178061490759,0.0168051960663478,0.000282414614828391
0.01,7,"IPW",174,0.00686228943554769,0.00529178061490759,0.0015705088206401,2.46649795570837e-06
0.01,7,"Augmented",174,0.013238651668107,0.00529178061490759,0.00794687105319941,6.31527595361787e-05
0.01,7,"SoftProxyMisspecified",174,0.00977222755416393,0.00529178061490759,0.00448044693925635,2.00744047754916e-05
0.01,7,"AugmentedMisspecified",174,0.0160699958736502,0.00529178061490759,0.0107782152587426,0.000116169924163792
0.01,8,"True",193,0.00529178061490759,0.00529178061490759,0,0
0.01,8,"SoftProxy",193,-0.00124164982789577,0.00529178061490759,-0.00653343044280335,4.26857133509496e-05
0.01,8,"HardProxy",193,0.00269277838573682,0.00529178061490759,-0.00259900222917077,6.75481258723461e-06
0.01,8,"IPW",193,-0.0193469239335263,0.00529178061490759,-0.0246387045484339,0.000607065761825016
0.01,8,"Augmented",193,-0.00905150119294839,0.00529178061490759,-0.014343281807856,0.000205729733019572
0.01,8,"SoftProxyMisspecified",193,-0.00309549790387915,0.00529178061490759,-0.00838727851878674,7.03464409517014e-05
0.01,8,"AugmentedMisspecified",193,-0.00301593673894072,0.00529178061490759,-0.0083077173538483,6.90181676314322e-05
0.01,9,"True",188,0.00529178061490759,0.00529178061490759,0,0
0.01,9,"SoftProxy",188,0.00257295252005094,0.00529178061490759,-0.00271882809485665,7.39202620938183e-06
0.01,9,"HardProxy",188,0.00816327460424562,0.00529178061490759,0.00287149398933803,8.24547773080444e-06
0.01,9,"IPW",188,0.00281904359136788,0.00529178061490759,-0.00247273702353971,6.11442838758401e-06
0.01,9,"Augmented",188,0.00124829879956373,0.00529178061490759,-0.00404348181534386,1.63497451910165e-05
0.01,9,"SoftProxyMisspecified",188,0.00463166129158805,0.00529178061490759,-0.000660119323319535,4.35757521019841e-07
0.01,9,"AugmentedMisspecified",188,0.000995476636117919,0.00529178061490759,-0.00429630397878967,1.84582278781639e-05
0.01,10,"True",180,0.00529178061490759,0.00529178061490759,0,0
0.01,10,"SoftProxy",180,0.0053850205928405,0.00529178061490759,9.32399779329119e-05,8.6936934849299e-09
0.01,10,"HardProxy",180,0.0129344578139617,0.00529178061490759,0.00764267719905413,5.84105147689419e-05
0.01,10,"IPW",180,0.00643855737437957,0.00529178061490759,0.00114677675947199,1.31509693606507e-06
0.01,10,"Augmented",180,0.00613275551417968,0.00529178061490759,0.000840974899272096,7.07238781205711e-07
0.01,10,"SoftProxyMisspecified",180,0.0044717335431004,0.00529178061490759,-0.000820047071807183,6.72477199979536e-07
0.01,10,"AugmentedMisspecified",180,0.00227273958948695,0.00529178061490759,-0.00301904102542064,9.11460871317289e-06
0.01,11,"True",182,0.00529178061490759,0.00529178061490759,0,0
0.01,11,"SoftProxy",182,0.00223424321402727,0.00529178061490759,-0.00305753740088031,9.34853495778194e-06
0.01,11,"HardProxy",182,0.00683396513869792,0.00529178061490759,0.00154218452379034,2.37833310541843e-06
0.01,11,"IPW",182,-0.0057145789501121,0.00529178061490759,-0.0110063595650197,0.0001211399508745
0.01,11,"Augmented",182,0.00151324196677905,0.00529178061490759,-0.00377853864812854,1.4277354315401e-05
0.01,11,"SoftProxyMisspecified",182,-0.000380451719557212,0.00529178061490759,-0.0056722323344648,3.2174219656148e-05
0.01,11,"AugmentedMisspecified",182,0.00271353557713005,0.00529178061490759,-0.00257824503777754,6.6473474748245e-06
0.01,12,"True",187,0.00529178061490759,0.00529178061490759,0,0
0.01,12,"SoftProxy",187,0.0141110346695905,0.00529178061490759,0.00881925405468287,7.77792420810403e-05
0.01,12,"HardProxy",187,0.0262104918612313,0.00529178061490759,0.0209187112463237,0.000437592480207068
0.01,12,"IPW",187,0.0230645396045514,0.00529178061490759,0.0177727589896438,0.000315870962103964
0.01,12,"Augmented",187,0.0155061525389797,0.00529178061490759,0.0102143719240721,0.000104333393803272
0.01,12,"SoftProxyMisspecified",187,0.0135923098610299,0.00529178061490759,0.00830052924612231,6.88987857657318e-05
0.01,12,"AugmentedMisspecified",187,0.0130657203270147,0.00529178061490759,0.00777393971210708,6.04341386474755e-05
0.01,13,"True",186,0.00529178061490759,0.00529178061490759,0,0
0.01,13,"SoftProxy",186,0.0094841731403591,0.00529178061490759,0.00419239252545152,1.75761550874617e-05
0.01,13,"HardProxy",186,0.0194654822413738,0.00529178061490759,0.0141737016264662,0.00020089381779609
0.01,13,"IPW",186,0.0303974746612189,0.00529178061490759,0.0251056940463113,0.000630295873546992
0.01,13,"Augmented",186,0.011885227532619,0.00529178061490759,0.00659344691771139,4.34735422566778e-05
0.01,13,"SoftProxyMisspecified",186,0.00714332859854962,0.00529178061490759,0.00185154798364204,3.42822993572889e-06
0.01,13,"AugmentedMisspecified",186,0.0147150828680124,0.00529178061490759,0.00942330225310483,8.87986253533705e-05
0.01,14,"True",190,0.00529178061490759,0.00529178061490759,0,0
0.01,14,"SoftProxy",190,0.0108076943979429,0.00529178061490759,0.00551591378303532,3.04253048618791e-05
0.01,14,"HardProxy",190,0.019835989666635,0.00529178061490759,0.0145442090517274,0.00021153401694035
0.01,14,"IPW",190,0.019672771946735,0.00529178061490759,0.0143809913318274,0.000206812911686094
0.01,14,"Augmented",190,0.0178195844072184,0.00529178061490759,0.0125278037923108,0.000156945867858638
0.01,14,"SoftProxyMisspecified",190,0.0125507649146886,0.00529178061490759,0.00725898429978103,5.26928530644676e-05
0.01,14,"AugmentedMisspecified",190,0.0156060082756311,0.00529178061490759,0.0103142276607235,0.000106383292237234
0.01,15,"True",182,0.00529178061490759,0.00529178061490759,0,0
0.01,15,"SoftProxy",182,0.00706659587147989,0.00529178061490759,0.0017748152565723,3.1499691949618e-06
0.01,15,"HardProxy",182,0.0167292360291564,0.00529178061490759,0.0114374554142488,0.000130815386352929
0.01,15,"IPW",182,0.0186809677619202,0.00529178061490759,0.0133891871470126,0.000179270332457728
0.01,15,"Augmented",182,0.0135548559262824,0.00529178061490759,0.00826307531137483,6.82784136014522e-05
0.01,15,"SoftProxyMisspecified",182,0.00836013261298771,0.00529178061490759,0.00306835199808012,9.41478398412228e-06
0.01,15,"AugmentedMisspecified",182,0.0129462944689063,0.00529178061490759,0.00765451385399873,5.85915823410585e-05
0.01,16,"True",173,0.00529178061490759,0.00529178061490759,0,0
0.01,16,"SoftProxy",173,0.012443533784175,0.00529178061490759,0.00715175316926741,5.11475733941265e-05
0.01,16,"HardProxy",173,0.0297053413648092,0.00529178061490759,0.0244135607499016,0.000596021948489138
0.01,16,"IPW",173,-0.00652144324270628,0.00529178061490759,-0.0118132238576139,0.000139552257910098
0.01,16,"Augmented",173,0.015868811871242,0.00529178061490759,0.0105770312563344,0.000111873590197476
0.01,16,"SoftProxyMisspecified",173,0.00896811134383075,0.00529178061490759,0.00367633072892317,1.35154076284248e-05
0.01,16,"AugmentedMisspecified",173,0.00991596931229693,0.00529178061490759,0.00462418869738935,2.13831211090634e-05
0.01,17,"True",198,0.00529178061490759,0.00529178061490759,0,0
0.01,17,"SoftProxy",198,-0.00364836073729899,0.00529178061490759,-0.00894014135220658,7.99261273974341e-05
0.01,17,"HardProxy",198,-0.00220475649462393,0.00529178061490759,-0.00749653710953151,5.61980686345831e-05
0.01,17,"IPW",198,0.00371016631461371,0.00529178061490759,-0.00158161430029387,2.50150379489407e-06
0.01,17,"Augmented",198,0.00103816767842608,0.00529178061490759,-0.00425361293648151,1.80932230134028e-05
0.01,17,"SoftProxyMisspecified",198,-0.00179450683265764,0.00529178061490759,-0.00708628744756523,5.02154697895205e-05
0.01,17,"AugmentedMisspecified",198,0.00213947237421109,0.00529178061490759,-0.0031523082406965,9.93704724436307e-06
0.01,18,"True",177,0.00529178061490759,0.00529178061490759,0,0
0.01,18,"SoftProxy",177,0.00601849911848127,0.00529178061490759,0.000726718503573687,5.2811978343638e-07
0.01,18,"HardProxy",177,0.013675329366751,0.00529178061490759,0.00838354875184343,7.02838896745356e-05
0.01,18,"IPW",177,0.00533839956707274,0.00529178061490759,4.66189521651575e-05,2.17332670097724e-09
0.01,18,"Augmented",177,0.00422236478174139,0.00529178061490759,-0.0010694158331662,1.14365022422655e-06
0.01,18,"SoftProxyMisspecified",177,0.00296454818361954,0.00529178061490759,-0.00232723243128805,5.41601078923888e-06
0.01,18,"AugmentedMisspecified",177,0.00533892893603716,0.00529178061490759,4.71483211295703e-05,2.22296418533709e-09
0.01,19,"True",183,0.00529178061490759,0.00529178061490759,0,0
0.01,19,"SoftProxy",183,0.00115710982398018,0.00529178061490759,-0.0041346707909274,1.70955025493482e-05
0.01,19,"HardProxy",183,0.00707854948187832,0.00529178061490759,0.00178676886697073,3.19254298397587e-06
0.01,19,"IPW",183,-0.00310028728271181,0.00529178061490759,-0.00839206789761939,7.0426803598254e-05
0.01,19,"Augmented",183,0.000942567159001141,0.00529178061490759,-0.00434921345590645,1.89156576850377e-05
0.01,19,"SoftProxyMisspecified",183,0.00630191308896822,0.00529178061490759,0.00101013247406064,1.02036761515186e-06
0.01,19,"AugmentedMisspecified",183,0.00659581501629288,0.00529178061490759,0.00130403440138529,1.70050571999629e-06
0.01,20,"True",187,0.00529178061490759,0.00529178061490759,0,0
0.01,20,"SoftProxy",187,-0.000346960901229362,0.00529178061490759,-0.00563874151613695,3.17954058858064e-05
0.01,20,"HardProxy",187,0.00437633892322792,0.00529178061490759,-0.000915441691679666,8.38033490865329e-07
0.01,20,"IPW",187,-0.000757839461062016,0.00529178061490759,-0.0060496200759696,3.65979030635745e-05
0.01,20,"Augmented",187,-0.00267962409809148,0.00529178061490759,-0.00797140471299906,6.35432930984237e-05
0.01,20,"SoftProxyMisspecified",187,-0.000844067055117944,0.00529178061490759,-0.00613584767002553,3.76486266297577e-05
0.01,20,"AugmentedMisspecified",187,-0.00237484674983707,0.00529178061490759,-0.00766662736474466,5.87771751498516e-05
0.02,1,"True",346,0.00529178061490759,0.00529178061490759,0,0
0.02,1,"SoftProxy",346,0.00220205972508945,0.00529178061490759,-0.00308972088981813,9.54637517697855e-06
0.02,1,"HardProxy",346,0.0112794924961603,0.00529178061490759,0.00598771188125271,3.58526935728948e-05
0.02,1,"IPW",346,-0.00565204271911058,0.00529178061490759,-0.0109438233340182,0.0001197672691662
0.02,1,"Augmented",346,0.00184150493534022,0.00529178061490759,-0.00345027567956737,1.1904402265014e-05
0.02,1,"SoftProxyMisspecified",346,0.00160311868172879,0.00529178061490759,-0.00368866193317879,1.36062268572823e-05
0.02,1,"AugmentedMisspecified",346,0.00234176208780155,0.00529178061490759,-0.00295001852710604,8.70260931026888e-06
0.02,2,"True",359,0.00529178061490759,0.00529178061490759,0,0
0.02,2,"SoftProxy",359,-0.00214897818503954,0.00529178061490759,-0.00744075879994713,5.53648915189907e-05
0.02,2,"HardProxy",359,0.00151183542727034,0.00529178061490759,-0.00377994518763724,1.4287985621542e-05
0.02,2,"IPW",359,0.0106651256751476,0.00529178061490759,0.00537334506023999,2.88728371364055e-05
0.02,2,"Augmented",359,-0.00286994037669206,0.00529178061490759,-0.00816172099159964,6.66136895447183e-05
