"audit_rate","replicate","method","path_type","lambda","audited_train_n","audited_validation_n","selection_estimated_moment","selection_baseline_moment","selection_target_moment","selection_feasible","validation_estimated_moment","selected_converged","selected_gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,1,"Unconstrained","exact",0,175,57,0.00203280471984273,0.00203280471984273,0.00203280471984273,TRUE,0.000905220124726151,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",1000,175,57,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.01,1,"SoftProxy","exact",316.227766016838,175,57,0.000586675651754684,0.00203280471984297,0.00101640235992149,TRUE,0.000509783462394067,TRUE,1.39473638451403e-05,0.459743108135636,0.739372983163943,0.80979347101932,0.0217630304699312,0.0151115867632376,0.0217630304699312,0.0151115867632376,0.0201341044484064,0.00803085070685028,0.0201341044484064,0.00803085070685028
0.01,1,"IPW","exact",31.6227766016838,175,57,0.00271597430215453,0.00550242489377126,0.00275121244688563,TRUE,0.0235041852229008,TRUE,7.88043426578421e-06,0.460006121719521,0.740084003333108,0.80962691538974,0.0229158268955009,0.0159593840846917,0.0229158268955009,0.0159593840846917,0.0168765201258138,0.00519336459436293,0.0168765201258138,0.00519336459436293
0.01,1,"Augmented","exact",100,175,57,0.00120611671719328,0.00302603078049144,0.00151301539024572,TRUE,0.0229784835985045,TRUE,8.03671906970729e-06,0.459859968602983,0.739442959130818,0.80979347101932,0.0221863925664375,0.0154943644512431,0.0221863925664375,0.0154943644512431,0.0190044498557782,0.00636695719603508,0.0190044498557782,0.00636695719603508
0.01,1,"AugmentedMisspecified","exact",100,175,57,0.00193689046350165,0.00468757711720198,0.00234378855860099,TRUE,0.0232515182395943,TRUE,1.68752058235201e-05,0.459995745504166,0.739078923238777,0.809127248500999,0.0223335172299794,0.015753469619651,0.0223335172299794,0.015753469619651,0.0174413474221278,0.00595431624176823,0.0174413474221278,0.00595431624176823
0.01,2,"Unconstrained","exact",0,176,47,0.00730506974376283,0.00730506974376283,0.00730506974376283,TRUE,0.00705183959425758,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,2,"Oracle","exact",1000,176,47,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.01,2,"SoftProxy","exact",316.227766016838,176,47,0.00226251348890667,0.00730506974376285,0.00365253487188143,TRUE,0.00202680187872496,TRUE,9.50418197856344e-06,0.461474521868353,0.737573876925948,0.80363091272485,0.0155048666183099,0.00898456989877583,0.0155048666183099,0.00898456989877583,0.0090872142743258,0.00221388826587043,0.0090872142743258,0.00221388826587043
0.01,2,"IPW","exact",100,176,47,0.000425398564447749,0.00145005517189256,0.000725027585946279,TRUE,0.0242681864470724,TRUE,8.20014936436984e-06,0.459728183971586,0.739677660132359,0.809960026648901,0.0217892795001564,0.0148580248343525,0.0217892795001564,0.0148580248343525,0.0205282428142802,0.00616063671890155,0.0205282428142802,0.00616063671890155
0.01,2,"Augmented","exact",100,176,47,0.00311237385040005,0.00839200295703125,0.00419600147851563,TRUE,0.0117272730517824,TRUE,1.24390432013535e-05,0.460689706105011,0.738509302781987,0.808461025982678,0.0187608412482729,0.0120514392924568,0.0187608412482729,0.0120514392924568,0.015182038236871,0.00373579156068116,0.015182038236871,0.00373579156068116
0.01,2,"AugmentedMisspecified","exact",100,176,47,0.00308521870918628,0.00724478974606849,0.00362239487303424,TRUE,0.00673917369740323,TRUE,7.94820960952804e-06,0.460144487853039,0.739505213611693,0.808794137241839,0.0189504043947333,0.0120986891462584,0.0189504043947333,0.0120986891462584,0.0167189343537566,0.00463873342409116,0.0167189343537566,0.00463873342409116
0.01,3,"Unconstrained","exact",0,172,68,0.0200155881930134,0.0200155881930134,0.0200155881930134,TRUE,0.0206246934928402,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,3,"Oracle","exact",1000,172,68,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
