"audit_rate","method","path_type","log_loss_mean","log_loss_sd","log_loss_se","log_loss_q025","log_loss_q975","auc_mean","auc_sd","auc_se","auc_q025","auc_q975","accuracy_mean","accuracy_sd","accuracy_se","accuracy_q025","accuracy_q975","dp_score_signed_mean","dp_score_signed_sd","dp_score_signed_se","dp_score_signed_q025","dp_score_signed_q975","eo_score_signed_mean","eo_score_signed_sd","eo_score_signed_se","eo_score_signed_q025","eo_score_signed_q975","dp_score_mean","dp_score_sd","dp_score_se","dp_score_q025","dp_score_q975","eo_score_mean","eo_score_sd","eo_score_se","eo_score_q025","eo_score_q975","dp_decision_signed_mean","dp_decision_signed_sd","dp_decision_signed_se","dp_decision_signed_q025","dp_decision_signed_q975","eo_decision_signed_mean","eo_decision_signed_sd","eo_decision_signed_se","eo_decision_signed_q025","eo_decision_signed_q975","dp_decision_mean","dp_decision_sd","dp_decision_se","dp_decision_q025","dp_decision_q975","eo_decision_mean","eo_decision_sd","eo_decision_se","eo_decision_q025","eo_decision_q975","lambda_mean","lambda_sd","lambda_se","lambda_q025","lambda_q975","selection_estimated_moment_mean","selection_estimated_moment_sd","selection_estimated_moment_se","selection_estimated_moment_q025","selection_estimated_moment_q975","selection_baseline_moment_mean","selection_baseline_moment_sd","selection_baseline_moment_se","selection_baseline_moment_q025","selection_baseline_moment_q975","selection_target_moment_mean","selection_target_moment_sd","selection_target_moment_se","selection_target_moment_q025","selection_target_moment_q975","validation_estimated_moment_mean","validation_estimated_moment_sd","validation_estimated_moment_se","validation_estimated_moment_q025","validation_estimated_moment_q975","n_rep"
0.01,"Augmented","exact",0.463153191341761,0.00500268738951482,0.00288830291100793,0.459859968602983,0.468909899317291,0.734331603505984,0.00805809122916297,0.0046523411403118,0.725042548605146,0.739442959130818,0.805074394847879,0.00705129212589765,0.0040710654070217,0.796968687541639,0.80979347101932,0.0177945948513994,0.00494621855433405,0.00285570061381549,0.0124365507394877,0.0221863925664375,0.0115549143785571,0.00420973146096766,0.00243048959220571,0.0071189393919715,0.0154943644512431,0.0177945948513994,0.00494621855433405,0.00285570061381549,0.0124365507394877,0.0221863925664375,0.0115549143785571,0.00420973146096766,0.00243048959220571,0.0071189393919715,0.0154943644512431,0.0152916950520115,0.00365915891740454,0.00211261638597113,0.0116885970633852,0.0190044498557782,0.00524513789761364,0.00135771538046445,0.000783877340394043,0.00373579156068116,0.00636695719603508,0.0152916950520115,0.00365915891740454,0.00211261638597113,0.0116885970633852,0.0190044498557782,0.00524513789761364,0.00135771538046445,0.000783877340394043,0.00373579156068116,0.00636695719603508,100,0,0,100,100,0.0037535198241305,0.0029212305616547,0.00168657325113631,0.00120611671719328,0.00694206890479818,0.0115789338774778,0.010515045954132,0.00607086461215939,0.00302603078049144,0.0233187678949108,0.00578946693873892,0.00525752297706599,0.00303543230607969,0.00151301539024572,0.0116593839474554,0.0189626741101503,0.00627867518668909,0.00362499480918917,0.0117272730517824,0.0229784835985045,3
0.01,"AugmentedMisspecified","exact",0.461748263238848,0.00290758640534936,0.00167869579382055,0.459995745504166,0.465104556359337,0.735730318522022,0.00617281281018873,0.00356387513761963,0.728606818715595,0.739505213611693,0.807572729291583,0.00240978618856438,0.00139129070465709,0.804796802131912,0.809127248500999,0.01857780349732,0.00395519903135818,0.00228353522545319,0.0144494888672472,0.0223335172299794,0.0121819485209918,0.0035306277725253,0.00203840889487585,0.00869368679706606,0.015753469619651,0.01857780349732,0.00395519903135818,0.00228353522545319,0.0144494888672472,0.0223335172299794,0.0121819485209918,0.0035306277725253,0.00203840889487585,0.00869368679706606,0.015753469619651,0.0154360617085322,0.00287044581987656,0.00165725266679997,0.0121479033497122,0.0174413474221278,0.00533535481036769,0.000661220718811271,0.000381755959999445,0.00463873342409116,0.00595431624176823,0.0154360617085322,0.00287044581987656,0.00165725266679997,0.0121479033497122,0.0174413474221278,0.00533535481036769,0.000661220718811271,0.000381755959999445,0.00463873342409116,0.00595431624176823,100,0,0,100,100,0.00379670552984261,0.0022996433387628,0.00132769970067483,0.00193689046350165,0.00636800741683988,0.00976283119333615,0.00669913701804899,0.00386774856070877,0.00468757711720198,0.017356126716738,0.00488141559666808,0.0033495685090245,0.00193387428035439,0.00234378855860099,0.00867806335836899,0.0166135164302843,0.00871893385111923,0.00503387880599023,0.00673917369740323,0.0232515182395943,3
0.01,"IPW","exact",0.461016118287206,0.0019949128066828,0.00115176344594814,0.459728183971586,0.463314049170511,0.737907616709725,0.00342374229174499,0.00197669853377487,0.733961186663707,0.740084003333108,0.809016211414613,0.00135651695790256,0.000783185430805336,0.807461692205197,0.809960026648901,0.0198352885515298,0.00439626445485341,0.0025381844664384,0.0148007592589321,0.0229158268955009,0.0131882125704459,0.0038852285309794,0.00224313773822417,0.0087472287922935,0.0159593840846917,0.0198352885515298,0.00439626445485341,0.0025381844664384,0.0148007592589321,0.0229158268955009,0.0131882125704459,0.0038852285309794,0.00224313773822417,0.0087472287922935,0.0159593840846917,0.0183084750184808,0.00194916816260722,0.00112535276337713,0.0168765201258138,0.0205282428142802,0.00659105059816508,0.00165540500409294,0.000955748524730912,0.00519336459436293,0.00841915048123076,0.0183084750184808,0.00194916816260722,0.00112535276337713,0.0168765201258138,0.0205282428142802,0.00659105059816508,0.00165540500409294,0.000955748524730912,0.00519336459436293,0.00841915048123076,54.4151844011225,39.477608335457,22.7924077994387,31.6227766016838,100,0.00499954997803378,0.00604838820907953,0.00349203856067543,0.000425398564447749,0.0118572770674991,0.0106194004843494,0.0125371308040984,0.00723831584461175,0.00145005517189256,0.0249057213873845,0.00530970024217472,0.00626856540204919,0.00361915792230588,0.000725027585946279,0.0124528606936923,0.0218063460913519,0.00362258533995282,0.00209150062118415,0.0176466666040825,0.0242681864470724,3
0.01,"Oracle","exact",0.463023210000175,0,0,0.463023210000175,0.463023210000175,0.736152319180493,0,0,0.736152319180493,0.736152319180493,0.801798800799467,0,0,0.801798800799467,0.801798800799467,0.00947083663580917,0,0,0.00947083663580917,0.00947083663580917,0.00346286875802315,0,0,0.00346286875802315,0.00346286875802315,0.00947083663580917,0,0,0.00947083663580917,0.00947083663580917,0.00346286875802315,0,0,0.00346286875802315,0.00346286875802315,0.0106896261831253,0,0,0.0106896261831253,0.0106896261831253,0.00101363627670348,0,0,0.00101363627670348,0.00101363627670348,0.0106896261831253,0,0,0.0106896261831253,0.0106896261831253,0.00101363627670348,0,0,0.00101363627670348,0.00101363627670348,1000,0,0,1000,1000,0.0015244494976099,0,0,0.0015244494976099,0.0015244494976099,0.00529178061490764,0,0,0.00529178061490764,0.00529178061490764,0.00264589030745382,0,0,0.00264589030745382,0.00264589030745382,0.00274413819293694,0,0,0.00274413819293694,0.00274413819293694,3
0.01,"SoftProxy","exact",0.462818813253489,0.00392450317789222,0.00226581296619162,0.459743108135636,0.467238809756478,0.734441098467178,0.00704189531824255,0.0040656401575925,0.726376435311642,0.739372983163943,0.80363091272485,0.00616255829447032,0.0035579546902092,0.79746835443038,0.80979347101932,0.0164355796423851,0.00492845119513088,0.00284544262419674,0.0120388418389143,0.0217630304699312,0.0102400589953668,0.00438085444502475,0.00252928749311561,0.00662402032408704,0.0151115867632376,0.0164355796423851,0.00492845119513088,0.00284544262419674,0.0120388418389143,0.0217630304699312,0.0102400589953668,0.00438085444502475,0.00252928749311561,0.00662402032408704,0.0151115867632376,0.014254110439526,0.00555786173186644,0.00320883296701181,0.0090872142743258,0.0201341044484064,0.0052066942881102,0.0029121461203918,0.00168132834652773,0.00221388826587043,0.00803085070685028,0.014254110439526,0.00555786173186644,0.00320883296701181,0.0090872142743258,0.0201341044484064,0.0052066942881102,0.0029121461203918,0.00168132834652773,0.00221388826587043,0.00803085070685028,244.151844011225,124.839158916093,72.0759220056127,100,316.227766016838,0.00372575415228129,0.00407285089082781,0.00235146155818864,0.000586675651754684,0.0083280733161825,0.00978448755220652,0.00924422846225452,0.00533715779113305,0.00203280471984297,0.0200155881930137,0.00489224377610326,0.00462211423112726,0.00266857889556652,0.00101640235992149,0.0100077940965069,0.00362442091088528,0.00415082607121204,0.00239648054957359,0.000509783462394067,0.00833667739153681,3
0.01,"Unconstrained","exact",0.459985191766891,0,0,0.459985191766891,0.459985191766891,0.739071040888486,0,0,0.739071040888486,0.739071040888486,0.810293137908061,0,0,0.810293137908061,0.810293137908061,0.0225450043231494,0,0,0.0225450043231494,0.0225450043231494,0.0156520704595688,0,0,0.0156520704595688,0.0156520704595688,0.0225450043231494,0,0,0.0225450043231494,0.0225450043231494,0.0156520704595688,0,0,0.0156520704595688,0.0156520704595688,0.0208172080416283,0,0,0.0208172080416283,0.0208172080416283,0.00671526788917332,0,0,0.00671526788917332,0.00671526788917332,0.0208172080416283,0,0,0.0208172080416283,0.0208172080416283,0.00671526788917332,0,0,0.00671526788917332,0.00671526788917332,0,0,0,0,0,0.00978448755220633,0.00924422846225446,0.00533715779113301,0.00203280471984273,0.0200155881930134,0.00978448755220633,0.00924422846225446,0.00533715779113301,0.00203280471984273,0.0200155881930134,0.00978448755220633,0.00924422846225446,0.00533715779113301,0.00203280471984273,0.0200155881930134,0.00952725107060797,0.0100901017815419,0.00582552297972394,0.000905220124726151,0.0206246934928402,3
0.02,"Augmented","exact",0.460763366585485,0.00119024470303139,0.0006871880996967,0.460072263468588,0.462137735335885,0.736532495123131,0.00401063840873487,0.00231554316490533,0.731914671145129,0.739144716734069,0.809127248500999,0.00259634531447699,0.00149900066622251,0.806129247168554,0.810626249167222,0.0186787975837531,0.00287290361534868,0.00165867167567741,0.0161824141108556,0.0218189796347296,0.0121022441815966,0.0026684427316856,0.00154062612945578,0.00995380888618413,0.0150892493105341,0.0186787975837531,0.00287290361534868,0.00165867167567741,0.0161824141108556,0.0218189796347296,0.0121022441815966,0.0026684427316856,0.00154062612945578,0.00995380888618413,0.0150892493105341,0.0178223826296183,0.00335677120882084,0.0019380327610207,0.013947210505718,0.0198320360626746,0.00658660736691596,0.000802604478482758,0.00046338391170482,0.00568366550350585,0.00721889849206381,0.0178223826296183,0.00335677120882084,0.0019380327610207,0.013947210505718,0.0198320360626746,0.00658660736691596,0.000802604478482758,0.00046338391170482,0.00568366550350585,0.00721889849206381,316.227766016838,0,0,316.227766016838,316.227766016838,0.00129481606265485,0.000939512988691161,0.000542428076927992,0.000398362455653034,0.00227215802733475,0.00480018131505108,0.00333514623524214,0.00192554757670382,0.00144841433627086,0.00811845452689402,0.00240009065752554,0.00166757311762107,0.000962773788351908,0.000724207168135428,0.00405922726344701,0.0060842663914016,0.00914058713107729,0.0052773204406787,0.000524250656793616,0.0166337659971657,3
0.02,"AugmentedMisspecified","exact",0.460965101182348,0.00118684251587917,0.000685223846028533,0.460023171943047,0.462298140125135,0.736158592887868,0.00359167211403361,0.00207365286187818,0.732127816331586,0.739019403450861,0.810126582278481,0.00208027914670168,0.00120104972533778,0.807794803464357,0.811792138574284,0.0186876426872318,0.00262784000647591,0.00151718413512614,0.0167814861393428,0.0216853403660633,0.012143993149484,0.00241480658816823,0.00139418923371981,0.0106290546684179,0.0149287788199804,0.0186876426872318,0.00262784000647591,0.00151718413512614,0.0167814861393428,0.0216853403660633,0.012143993149484,0.00241480658816823,0.00139418923371981,0.0106290546684179,0.0149287788199804,0.017839853507462,0.00418426266107405,0.0024157851737312,0.0131196242988215,0.0210930701105938,0.00616952318139989,0.00145126095448674,0.00083788590273731,0.00457440316296254,0.00741188927545,0.017839853507462,0.00418426266107405,0.0024157851737312,0.0131196242988215,0.0210930701105938,0.00616952318139989,0.00145126095448674,0.00083788590273731,0.00457440316296254,0.00741188927545,316.227766016838,0,0,316.227766016838,316.227766016838,0.00128191060604906,0.000876963099503638,0.000506314881567794,0.000380960505536669,0.00213273670873432,0.00486628754801701,0.00349168974795955,0.0020159280159111,0.00129443528111623,0.00827187439704417,0.0024331437740085,0.00174584487397978,0.00100796400795555,0.000647217640558116,0.00413593719852209,0.00587261330935753,0.00855964258057688,0.00494191194806304,0.000515996149230473,0.015744493363807,3
0.02,"IPW","exact",0.460191286464169,0.000316046878570552,0.000182469750419249,0.459880414283166,0.460512265584614,0.738643624465528,0.000575114208068747,0.000332042342843269,0.73806547820128,0.739215657886694,0.810959360426382,0.000333111259160579,0.000192321875146455,0.810626249167222,0.811292471685543,0.0214085483290436,0.000771447659721049,0.000445395514005655,0.0205643535548004,0.0220768831606053,0.0146399820564397,0.000757314863147149,0.000437235940099311,0.013779718489806,0.0152060761466124,0.0214085483290436,0.000771447659721049,0.000445395514005655,0.0205643535548004,0.0220768831606053,0.0146399820564397,0.000757314863147149,0.000437235940099311,0.013779718489806,0.0152060761466124,0.0197926106303721,0.00180095011369681,0.00103977903293994,0.0180323810352077,0.021631691090142,0.00674115454079878,0.00135140920276542,0.000780236467001955,0.00525769485549155,0.00790219018459304,0.0197926106303721,0.00180095011369681,0.00103977903293994,0.0180323810352077,0.021631691090142,0.00674115454079878,0.00135140920276542,0.000780236467001955,0.00525769485549155,0.00790219018459304,100,0,0,100,100,0.00155644355841833,0.000231658827669855,0.000133748286515344,0.00129359789807119,0.00173087721937762,0.00427558496739407,0.00134467260112583,0.000776347088231912,0.00329734399143442,0.00580894098863909,0.00213779248369704,0.000672336300562915,0.000388173544115956,0.00164867199571721,0.00290447049431954,0.000910252943323444,0.000460666256853757,0.000265965787401094,0.000456566747270446,0.00137759557739289,3
0.02,"Oracle","exact",0.463023210000175,0,0,0.463023210000175,0.463023210000175,0.736152319180493,0,0,0.736152319180493,0.736152319180493,0.801798800799467,0,0,0.801798800799467,0.801798800799467,0.00947083663580917,0,0,0.00947083663580917,0.00947083663580917,0.00346286875802315,0,0,0.00346286875802315,0.00346286875802315,0.00947083663580917,0,0,0.00947083663580917,0.00947083663580917,0.00346286875802315,0,0,0.00346286875802315,0.00346286875802315,0.0106896261831253,0,0,0.0106896261831253,0.0106896261831253,0.00101363627670348,0,0,0.00101363627670348,0.00101363627670348,0.0106896261831253,0,0,0.0106896261831253,0.0106896261831253,0.00101363627670348,0,0,0.00101363627670348,0.00101363627670348,1000,0,0,1000,1000,0.0015244494976099,0,0,0.0015244494976099,0.0015244494976099,0.00529178061490764,0,0,0.00529178061490764,0.00529178061490764,0.00264589030745382,0,0,0.00264589030745382,0.00264589030745382,0.00274413819293694,0,0,0.00274413819293694,0.00274413819293694,3
